"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"743","brain_latent_gFA","~","brain_latent_cc2",0.187535079670875,0.0106476956382103,17.6127385720799,0,0.166665979701638,0.208404179640111,0.0870126877256051,0.0231391763080838,0
"747","brain_latent_gFA","~","brain_latent_cc3",0.209454029899414,0.00898437671026009,23.3131397596251,0,0.191844975123764,0.227063084675064,0.102624500362353,0.0387509889448315,0
"751","brain_latent_pc1","~","cardio_latent_agg",-0.0465029070418759,0.00908386802492387,-5.11928474899498,3.0669659545346e-07,-0.0643069612110417,-0.0286988528727101,0.133873735846214,0.00194826354066313,4.83482405933183e-07
"755","brain_latent_pc1","~","cardio_latent_gvrf",-0.0475836822672433,0.0102152026834009,-4.65812414515903,3.19103766677209e-06,-0.067605111621486,-0.0275622529130005,0.133549443753814,0.00162397144826298,4.88120592247765e-06
"759","brain_latent_pc1","~","cog_latent_g",0.0482275782629691,0.00866134907040061,5.56813700394348,2.57477348331037e-08,0.0312516460274544,0.0652035104984838,0.134218119892384,0.00229264758683301,4.28337892845642e-08
"763","brain_latent_pc1","~","heart_latent_pc1",-0.0632361842815607,0.00877196369995095,-7.20889716881915,5.6399329650958e-13,-0.0804289172071573,-0.0460434513559642,0.135716064206762,0.00379059190121112,1.04411066687158e-12
"767","brain_latent_pc1","~","heart_latent_pc2",-0.038888884118178,0.00907962353360164,-4.28309433472203,1.84311980768737e-05,-0.0566846192372195,-0.0210931489991365,0.133307994287261,0.00138252198170963,2.60927941402015e-05
"771","brain_latent_pc1","~","heart_latent_pc3",0.0391278311259558,0.00867643748398431,4.50966553936235,6.49299117161384e-06,0.0221223261432332,0.0561333361086784,0.133451460662761,0.00152598835721018,9.4897563277433e-06
"775","brain_latent_pc1","~","brain_latent_grey",0.0541293608519406,0.010445988859217,5.18183214451544,2.19716904448219e-07,0.0336555989049687,0.0746031227989125,0.133920011570387,0.00199453926483628,3.50963727901802e-07
"779","brain_latent_pc1","~","brain_latent_atrophy",0.0206161562593305,0.0106787572965091,1.93057634768701,0.053535465187817,-0.000313823441471562,0.0415461359601326,0.132251568581906,0.000326096276354937,0.0606020018029544
"783","brain_latent_pc1","~","brain_latent_gMD",-0.941522247461134,0.00117533077007238,-801.070023380015,0,-0.943825853440398,-0.93921864148187,0.918996300048241,0.78707082774269,0
"787","brain_latent_pc1","~","brain_latent_gFA",0.673344973388896,0.00436870178289646,154.129305878706,0,0.664782475235223,0.681907471542569,0.556300637763109,0.424375165457558,0
