"","PC1","PC2","PC3"
"brain_bio.weighted.mean_l3_in_tract_uncinate_fasciculus_.right..0.imaging",0.0891400541772071,0.0483131642001325,-0.00325677546827786
"brain_bio.weighted.mean_icvf_in_tract_acoustic_radiation_.left..0.imaging",-0.0946319062985582,-0.0477975727941628,-0.103258243978692
"brain_bio.weighted.mean_icvf_in_tract_acoustic_radiation_.right..0.imaging",-0.0914307681952473,-0.0485669610405996,-0.0800635226213568
"brain_bio.weighted.mean_icvf_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.104172647264235,-0.0258592078133103,-0.0488129419835673
"brain_bio.weighted.mean_icvf_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.104400654423192,-0.0284454845434702,-0.0475722580235647
"brain_bio.weighted.mean_icvf_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.085796589515732,-0.0584692354913869,-0.0368485890394227
"brain_bio.weighted.mean_icvf_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.0869361115722319,-0.0514142051949058,-0.032683881961753
"brain_bio.weighted.mean_icvf_in_tract_corticospinal_tract_.left..0.imaging",-0.0855571629613177,-0.0424354468588152,-0.0736699478941635
"brain_bio.weighted.mean_icvf_in_tract_corticospinal_tract_.right..0.imaging",-0.0851864363967283,-0.0529709407984101,-0.0613394673653392
"brain_bio.weighted.mean_icvf_in_tract_forceps_minor.0.imaging",-0.101113631280558,-0.0388936937399889,-0.0796796849098484
"brain_bio.weighted.mean_icvf_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.107100245220776,-0.0353466639471117,-0.0980106526455598
"brain_bio.weighted.mean_icvf_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.108631814580823,-0.0290605039933899,-0.0947382298356146
"brain_bio.weighted.mean_icvf_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.104413669852766,-0.0334765836711748,-0.112097775912038
"brain_bio.weighted.mean_icvf_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.105926492712943,-0.0294153599515478,-0.11032650714536
"brain_bio.weighted.mean_icvf_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.0981822424429037,-0.0139530604654655,-0.106018610961982
"brain_bio.weighted.mean_icvf_in_tract_posterior_thalamic_radiation_.right..0.imaging",-0.0996882247912144,-0.00880734038302075,-0.104987761496416
"brain_bio.weighted.mean_icvf_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.104689194554691,-0.0298228741135122,-0.0828792718371461
"brain_bio.weighted.mean_icvf_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.104321206544218,-0.0324704859609323,-0.0806580204500398
"brain_bio.weighted.mean_icvf_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.101464199560879,-0.0148987954311546,-0.0457849200139168
"brain_bio.weighted.mean_icvf_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.101540480438999,-0.0123510856029334,-0.0373602572673644
"brain_bio.weighted.mean_icvf_in_tract_uncinate_fasciculus_.left..0.imaging",-0.0924898075249014,-0.0537883965806442,-0.0648991118471281
"brain_bio.weighted.mean_icvf_in_tract_uncinate_fasciculus_.right..0.imaging",-0.0967340677605209,-0.0548457077325621,-0.0667691298923441
"brain_bio.weighted.mean_od_in_tract_acoustic_radiation_.left..0.imaging",-0.0133271648774142,0.0772647751118277,-0.0125959524353569
"brain_bio.weighted.mean_od_in_tract_acoustic_radiation_.right..0.imaging",-0.022957723065253,0.0852629537721009,-0.00326856565325018
"brain_bio.weighted.mean_od_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.0306978893147092,0.118516926811616,-0.042567810708824
"brain_bio.weighted.mean_od_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.000321295480160102,0.0926711703367625,-0.0329439021971778
"brain_bio.weighted.mean_od_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0027508738570582,0.0929714051582411,-0.0255312485462392
"brain_bio.weighted.mean_od_in_tract_corticospinal_tract_.left..0.imaging",-0.00830034368093066,0.110666587246269,0.00358592112130027
"brain_bio.weighted.mean_od_in_tract_corticospinal_tract_.right..0.imaging",-0.0088584998399188,0.113808666251068,-0.014820708401207
"brain_bio.weighted.mean_od_in_tract_forceps_major.0.imaging",-0.00836017890273185,0.0734217129581575,-0.0248923754956664
"brain_bio.weighted.mean_od_in_tract_forceps_minor.0.imaging",-0.0223706861984905,0.102889862620147,-0.0641055776692352
"brain_bio.weighted.mean_od_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.0205633916404788,0.114470654079218,-0.0844540745412738
"brain_bio.weighted.mean_od_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.0278245837050634,0.110517531427755,-0.0833045119697816
"brain_bio.weighted.mean_od_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.0261800597205317,0.106053725722202,-0.10777617262058
"brain_bio.weighted.mean_od_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.0293431111729362,0.105475266376687,-0.122324006003703
"brain_bio.weighted.mean_od_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.0260644107336815,0.0790491026442517,-0.105745267025791
"brain_bio.weighted.mean_od_in_tract_posterior_thalamic_radiation_.right..0.imaging",-0.0305433997988112,0.0762152506740701,-0.101604645841091
"brain_bio.weighted.mean_od_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.0165073947795571,0.136452432954516,-0.00137391286505743
"brain_bio.weighted.mean_od_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0177908950403599,0.144646751194501,0.00400457961160171
"brain_bio.weighted.mean_od_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.0299981834332875,0.112159506860101,-0.000380674291812859
