"","lhs","op","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"532","brain_latent_gFA","~","brain_latent_grey",0.156929049121827,0,0.136053519672309,0.177804578571346,0.080169286834208,0.0162957754166867,0
"535","brain_latent_gFA","~","brain_latent_atrophy",0.116968820088153,0,0.0954653868703565,0.13847225330595,0.0725737321638448,0.00870022074632348,0
"538","brain_latent_gFA","~","brain_latent_gMD",-0.498980268000307,0,-0.512434458227584,-0.485526077773031,0.284939057901868,0.221065546484347,0
"544","brain_latent_gFA","~","brain_latent_pc1",0.72579907026327,0,0.717038736632848,0.734559403893691,0.521161543566412,0.457288032148891,0
"547","brain_latent_gFA","~","brain_latent_pc2",0.624829844555947,0,0.61484295168552,0.634816737426375,0.435434718106285,0.371561206688764,0
"550","brain_latent_gFA","~","brain_latent_pc3",-0.0504794197094023,5.33289530091352e-07,-0.0702120073520982,-0.0307468320667064,0.0658311287725203,0.001957617354999,8.3703269723034e-07
"553","brain_latent_gFA","~","heart_latent_cc1",-0.0679063583464471,3.30309113394378e-11,-0.0879736556185698,-0.0478390610743243,0.0672862615851673,0.00341275016764597,5.90304900670151e-11
"556","brain_latent_gFA","~","heart_latent_cc2",0.0458911868967219,3.83773986922797e-06,0.0264224789307572,0.0653598948626866,0.0655368385921585,0.00166332717463724,5.72489294541859e-06
"559","brain_latent_gFA","~","heart_latent_cc3",0.0646655005883791,1.18711707131069e-11,0.0459768614889335,0.0833541396878248,0.0674403347976579,0.00356682338013659,2.1427463137158e-11
"562","brain_latent_gFA","~","brain_latent_cc1",-0.0053156523069482,0.693624512682943,-0.0317624653448563,0.0211311607309599,0.0638856555032674,1.21440857461241e-05,0.713389869655238
"565","brain_latent_gFA","~","brain_latent_cc2",0.187510746172712,0,0.166638652624208,0.208382839721215,0.0867547069387423,0.022881195521221,0
"568","brain_latent_gFA","~","brain_latent_cc3",0.209495359895941,0,0.19188429033656,0.227106429455323,0.102387861584172,0.0385143501666511,0
