"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"141","heart_latent_cc3","ie",":=","a*b","ie",0.00189586421086117,0.719669053489329,-0.00845747617085296,0.0122492045925753,0.719669053489329,FALSE
"142","heart_latent_cc3","te",":=","c+a*b","te",-0.0369739683749204,0.000597502756244817,-0.0580846645246524,-0.0158632722251883,0.000597507293656374,TRUE
"143","heart_latent_cc3","pm",":=","(a*b)/(c+a*b)","pm",-0.0512756486303251,0.721129745267904,-0.332823808348211,0.230272511087561,0.721129745267904,FALSE
"144","brain_latent_cc1","brain_latent_cc1","~","cardio_latent_gvrf","a",0.128435607470352,0,0.114875827781319,0.141995387159386,0,TRUE
"147","brain_latent_cc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0537167997069229,7.85666060432177e-07,-0.0750339158630197,-0.032399683550826,4.19021898897161e-06,TRUE
"148","brain_latent_cc1","cog_latent_g","~","brain_latent_cc1","b",0.130359802799065,0,0.102822479606936,0.157897125991194,0,TRUE
"151","brain_latent_cc1","de",":=","c","de",-0.0537167997069229,7.85666060432177e-07,-0.0750339158630197,-0.032399683550826,4.19021898897161e-06,TRUE
"152","brain_latent_cc1","ie",":=","a*b","ie",0.0167428404622132,0,0.0127866683072437,0.0206990126171826,0,TRUE
"153","brain_latent_cc1","te",":=","c+a*b","te",-0.0369739592447097,0.000597504603665033,-0.058084655337209,-0.0158632631522104,0.000597507293656374,TRUE
"154","brain_latent_cc1","pm",":=","(a*b)/(c+a*b)","pm",-0.452827903860708,0.00176846529257979,-0.736691940994202,-0.168963866727215,0.00462539032633507,TRUE
"155","brain_latent_cc2","brain_latent_cc2","~","cardio_latent_gvrf","a",-0.355250004555605,0,-0.370536271707536,-0.339963737403674,0,TRUE
"158","brain_latent_cc2","cog_latent_g","~","cardio_latent_gvrf","c",0.0208935623008443,0.0689185382195603,-0.00161972989058264,0.0434068544922712,0.0735131074341976,FALSE
"159","brain_latent_cc2","cog_latent_g","~","brain_latent_cc2","b",0.162892403433401,0,0.139912309031762,0.18587249783504,0,TRUE
"162","brain_latent_cc2","de",":=","c","de",0.0208935623008443,0.0689185382195603,-0.00161972989058264,0.0434068544922712,0.0735131074341976,FALSE
"163","brain_latent_cc2","ie",":=","a*b","ie",-0.0578675270617892,0,-0.066423428313401,-0.0493116258101774,0,TRUE
"164","brain_latent_cc2","te",":=","c+a*b","te",-0.0369739647609449,0.000597503486920559,-0.0580846608864022,-0.0158632686354877,0.000597507293656374,TRUE
"165","brain_latent_cc2","pm",":=","(a*b)/(c+a*b)","pm",1.56508850040648,0.000807279492052393,0.649490122145604,2.48068687866735,0.00462539032633507,TRUE
"166","brain_latent_cc3","brain_latent_cc3","~","cardio_latent_gvrf","a",-0.301208701238177,0,-0.319762354733051,-0.282655047743304,0,TRUE
"169","brain_latent_cc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.034289793553732,0.00216274185721521,-0.0562032061241843,-0.0123763809832796,0.00346038697154434,TRUE
"170","brain_latent_cc3","cog_latent_g","~","brain_latent_cc3","b",0.0089112877202083,0.370267451875848,-0.0105823943159188,0.0284049697563354,0.423162802143826,FALSE
"173","brain_latent_cc3","de",":=","c","de",-0.034289793553732,0.00216274185721521,-0.0562032061241843,-0.0123763809832796,0.00346038697154434,TRUE
"174","brain_latent_cc3","ie",":=","a*b","ie",-0.00268415740056366,0.370467653909216,-0.00855828114716387,0.00318996634603655,0.423391604467675,FALSE
"175","brain_latent_cc3","te",":=","c+a*b","te",-0.0369739509542956,0.000597506308361861,-0.0580846470707295,-0.0158632548378618,0.000597507293656374,TRUE
"176","brain_latent_cc3","pm",":=","(a*b)/(c+a*b)","pm",0.0725959041780958,0.386181257449714,-0.0915990670290303,0.236790875385222,0.441350008513958,FALSE
