,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
heart_shape_Max2DdiameterColumn_LV_ES,0.078053528,-0.045255852,0.03175525,-0.007829297,-0.015003716,0.034795866,-0.092565476,-0.021137,0.00866589,0.0119197
heart_shape_Max2DdiameterRow_RV_ED,0.061998464,-0.04489109,0.025786339,-0.008095821,0.021870686,-0.070153812,-0.029344926,0.044959953,-0.025586081,0.044650477
heart_texture_DependenceEntropy_gldm_MYO_ED,0.030005774,-0.044768484,0.020914845,0.115263233,0.033740818,0.056933462,0.042884535,0.078025584,0.159516432,0.05454444
heart_texture_InverseDifferenceNormalized_glcm_MYO_ED,0.037008599,-0.044455346,-0.105370847,-0.000265892,-0.059219236,-0.030297311,0.001285695,0.032352656,-0.059482448,0.128415515
heart_shape_Max2DdiameterColumn_LV_ED,0.081279237,-0.044380109,0.02615932,0.022893809,0.018336039,-0.012972944,-0.129790426,-0.053152125,0.017544389,0.00957225
heart_shape_SurfaceArea_MYO_ES,0.094780295,-0.044109391,0.05311948,-0.0239069,-0.01005671,-0.014817257,-0.021829618,0.023837286,-0.007019012,-0.034029726
heart_shape_Max2DdiameterRow_LV_ED,0.075624179,-0.043040036,0.026638992,0.021382235,0.016151804,-0.011827737,-0.144280299,-0.051066067,0.024780739,-0.021226542
heart_texture_InverseDifferenceNormalized_glcm_MYO_ES,0.0347354,-0.042626286,-0.120607546,-0.00106972,-0.024497766,-0.064175231,0.004551267,-0.084548328,0.077579503,-0.028738073
heart_shape_Max2DdiameterRow_LV_ES,0.075874533,-0.042377338,0.032823171,-0.007824374,-0.0135256,0.028779011,-0.109279977,-0.02519033,0.001081313,-0.011134816
heart_shape_Max2DdiameterSlice_RV_ES,0.051135129,-0.042340184,0.019475787,-0.039805081,-0.00780488,-0.060078489,0.02311565,0.049489827,-0.016644325,0.046166785
heart_shape_Max3Ddiameter_LV_ED,0.076058525,-0.042193514,0.027989571,0.02180498,0.013581147,-0.014228677,-0.144005387,-0.04932851,0.022362562,-0.027092383
heart_shape_Max3Ddiameter_RV_ES,0.071943956,-0.041819946,0.024331088,-0.0121419,-0.001530142,-0.009625091,-0.032141055,0.005194534,0.006799816,-0.0072558
heart_shape_Max2DdiameterRow_RV_ES,0.052761661,-0.041694219,0.021338284,-0.040666799,0.002466814,-0.034970173,-0.011037608,0.068147293,-0.023440743,0.071238748
heart_cmr_RASV,0.032736486,-0.041441819,0.008759556,0.019840865,0.034233216,-0.090457529,-0.012454974,-0.025904855,-0.015568752,0.082821115
heart_shape_Max3Ddiameter_LV_ES,0.075596352,-0.041280873,0.033880224,-0.004800759,-0.014487159,0.028362865,-0.102869332,-0.024859519,0.004574466,-0.019138469
heart_shape_MajorAxis_MYO_ES,0.089198509,-0.041161692,0.039511589,-0.00017113,-0.010794912,0.018471727,-0.100415802,-0.010383938,0.005897365,-0.007569904
heart_texture_SizeZoneNonUniformityNormalized_glszm_MYO_ED,-0.004241463,-0.041031359,-0.05364252,0.014755939,-0.036210458,-0.005754424,-0.017911707,-0.006780499,-0.026996009,0.03584609
heart_texture_Correlation_glcm_MYO_ES,0.040880686,-0.040907728,0.032304333,0.091821571,0.071706418,0.064186227,0.062730589,-0.159308956,0.015653084,0.021725907
heart_texture_SmallAreaEmphasis_glszm_MYO_ED,-0.003627198,-0.040838562,-0.051356411,0.014760882,-0.035431076,-0.007534521,-0.017539481,-0.007355852,-0.027153424,0.034628229
heart_shape_Max2DdiameterColumn_RV_ES,0.067496774,-0.040488462,0.039916302,-0.008817056,-0.010789856,-0.011547174,-0.018053314,-0.07210573,0.00749176,0.011354095
heart_shape_Max2DdiameterRow_MYO_ED,0.075483318,-0.040302518,0.028308865,0.024077214,0.015139956,-0.009667449,-0.131262981,-0.039901138,0.023732108,-0.032845555
heart_shape_MajorAxis_MYO_ED,0.083363272,-0.040250359,0.039657961,0.028320247,0.014891103,-0.015959268,-0.141004969,-0.046087325,0.021275171,-0.00835136
heart_texture_LargeAreaHighGrayLevelEmphasis_glszm_MYO_ES,0.06571028,-0.039904822,-0.066346211,0.011129487,0.091803016,0.034490832,0.033087013,0.012181089,0.027439294,-0.039770295
heart_shape_Max2DdiameterColumn_MYO_ED,0.086623366,-0.039760129,0.033007007,0.027988031,0.016453626,-0.010146802,-0.112253375,-0.045704841,0.01671209,0.010580695
heart_shape_Max2DdiameterColumn_MYO_ES,0.090773774,-0.03968956,0.03445284,0.008726399,-0.008150587,0.026829034,-0.079655727,-0.01227984,0.007459134,0.004598102
heart_texture_LargeAreaHighGrayLevelEmphasis_glszm_MYO_ED,0.075058395,-0.039194747,-0.064599363,-0.001231193,0.041850805,0.055311193,0.003828355,0.062827364,0.019500928,-0.003175326
heart_shape_LeastAxis_RV_ED,0.073475179,-0.038773889,0.036705221,0.013667484,0.035695007,-0.05148818,0.002338164,-0.061081502,0.010186357,0.056716898
heart_texture_ClusterProminence_glcm_MYO_ED,-0.020871482,-0.038435842,0.019966175,0.090359616,-0.127179375,-0.017517465,0.019118731,0.024045716,0.116733541,-0.037406461
heart_shape_Max2DdiameterSlice_LV_ED,0.055131652,-0.038175537,0.055526078,-0.024897978,0.02298504,-0.093679351,0.015704236,-0.008804914,-0.012645139,-0.08543247
