"","V1","V2","V3"
"heart_texture_Coarseness_ngtdm_MYO_ES",-0.0212483331774003,0.107134121928055,-0.71928566152131
"heart_texture_Contrast_ngtdm_MYO_ES",-0.528349112294143,-0.536163133713541,0.04710752391722
"heart_texture_Busyness_ngtdm_MYO_ES",0.105441580253872,-0.716825252287223,0.270345998527603
"heart_texture_Complexity_ngtdm_MYO_ES",-0.470856623224183,0.587059957532408,0.0726080397747771
"heart_texture_Strength_ngtdm_MYO_ES",-0.204133157108684,0.594300811928502,-0.114030187438121
"heart_texture_SmallDependenceEmphasis_gldm_MYO_ED",-0.65653880011088,0.289084733167614,-0.388431069132792
"heart_texture_LargeDependenceEmphasis_gldm_MYO_ED",0.755895871785758,0.0166745421663527,0.377526038366857
"heart_texture_GrayLevelNonUniformity_gldm_MYO_ED",0.56294758507499,-0.0337019781897396,0.739608061396759
"heart_texture_DependenceNonUniformity_gldm_MYO_ED",-0.278766111346582,-0.0628629148973098,0.760604430056192
"heart_texture_DependenceNonUniformityNormalized_gldm_MYO_ED",-0.726232352367593,-0.0378125676370872,-0.345125648448033
"heart_texture_GrayLevelVariance_gldm_MYO_ED",-0.662384057141728,0.348279295008143,-0.12722420417627
"heart_texture_DependenceVariance_gldm_MYO_ED",0.651947336542761,0.0522175525030181,0.309489479598488
"heart_texture_DependenceEntropy_gldm_MYO_ED",-0.080242020896658,0.208463281739635,0.395837891560277
"heart_texture_LowGrayLevelEmphasis_gldm_MYO_ED",-0.00111204467543498,-0.81120190476567,-0.0335664128469369
"heart_texture_HighGrayLevelEmphasis_gldm_MYO_ED",-0.178549429365319,0.906760292313046,-0.0171866265464775
"heart_texture_SmallDependenceLowGrayLevelEmphasis_gldm_MYO_ED",-0.312273251378644,-0.643659531656459,-0.249143932980467
"heart_texture_SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ED",-0.466992320419494,0.690675330555927,-0.184863217386238
"heart_texture_LargeDependenceLowGrayLevelEmphasis_gldm_MYO_ED",0.329171910067244,-0.634752706824164,0.126016617282763
"heart_texture_LargeDependenceHighGrayLevelEmphasis_gldm_MYO_ED",0.425862050604541,0.703680827384326,0.259294727152389
"heart_texture_SmallDependenceEmphasis_gldm_MYO_ES",-0.710507031180337,0.213667272541047,-0.20756731085219
"heart_texture_LargeDependenceEmphasis_gldm_MYO_ES",0.857129735211633,0.142265962195554,0.143401863383721
"heart_texture_GrayLevelNonUniformity_gldm_MYO_ES",0.695607750825108,-0.031294487978815,0.5538896984282
"heart_texture_DependenceNonUniformity_gldm_MYO_ES",0.0128438576056285,-0.109184501558225,0.873728846594648
"heart_texture_DependenceNonUniformityNormalized_gldm_MYO_ES",-0.6703294716059,-0.177808430101877,-0.0902542632725238
"heart_texture_GrayLevelVariance_gldm_MYO_ES",-0.706382371294882,0.293303574395138,0.205580705890744
"heart_texture_DependenceVariance_gldm_MYO_ES",0.693869592434,0.206030881502672,0.072187096797185
"heart_texture_DependenceEntropy_gldm_MYO_ES",-0.417586254507087,0.14714674169186,0.488816987660565
"heart_texture_LowGrayLevelEmphasis_gldm_MYO_ES",0.102697116741116,-0.721987906393129,-0.0509912661804234
"heart_texture_HighGrayLevelEmphasis_gldm_MYO_ES",-0.241431088801273,0.825218436704051,0.110901505535333
"heart_texture_SmallDependenceLowGrayLevelEmphasis_gldm_MYO_ES",-0.211864567279456,-0.636027020789351,-0.20401268936619
"heart_texture_SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ES",-0.513064076321691,0.654512824102584,-0.00446184666512021
"heart_texture_LargeDependenceLowGrayLevelEmphasis_gldm_MYO_ES",0.418622549871367,-0.547405043332774,0.00351053261780654
"heart_texture_LargeDependenceHighGrayLevelEmphasis_gldm_MYO_ES",0.279173368349203,0.740856774536691,0.167300941180929
